yourlist:M201912038471C63D39733769F8E060B506551E125F0C55R	isomap:M201912038471C63D39733769F8E060B506551E125F0C55R	Entry	Entry name	Status	Protein names	Gene names	Organism	Length
ENSG00000127054	ENSG00000127054 -> Q5TA45-1;Q5TA45-2;Q5TA45-3;Q5TA45-4;Q5TA45-5	Q5TA45	INT11_HUMAN	reviewed	Integrator complex subunit 11 (Int11) (EC 3.1.27.-) (Cleavage and polyadenylation-specific factor 3-like protein) (CPSF3-like protein) (Protein related to CPSF subunits of 68 kDa) (RC-68)	INTS11 CPSF3L RC68	Homo sapiens (Human)	600
ENSG00000224051		Q5TA50	CPTP_HUMAN	reviewed	Ceramide-1-phosphate transfer protein (CPTP) (Glycolipid transfer protein domain-containing protein 1) (GLTP domain-containing protein 1)	CPTP GLTPD1	Homo sapiens (Human)	214
ENSG00000107404	ENSG00000107404 -> O14640-1;O14640-2	O14640	DVL1_HUMAN	reviewed	Segment polarity protein dishevelled homolog DVL-1 (Dishevelled-1) (DSH homolog 1)	DVL1	Homo sapiens (Human)	695
ENSG00000162576	ENSG00000162576 -> Q9BRK3-1;Q9BRK3-2;Q9BRK3-3;Q9BRK3-4	Q9BRK3	MXRA8_HUMAN	reviewed	Matrix remodeling-associated protein 8 (Limitrin)	MXRA8	Homo sapiens (Human)	442
ENSG00000175756		Q9NWT8	AKIP_HUMAN	reviewed	Aurora kinase A-interacting protein (AURKA-interacting protein) (28S ribosomal protein S38, mitochondrial) (MRP-S38) (Mitochondrial small ribosomal subunit protein mS38)	AURKAIP1 AIP AKIP MRPS38	Homo sapiens (Human)	199
ENSG00000221978	ENSG00000221978 -> Q96S94-1;Q96S94-2;Q96S94-4;Q96S94-5	Q96S94	CCNL2_HUMAN	reviewed	Cyclin-L2 (Paneth cell-enhanced expression protein)	CCNL2 SB138	Homo sapiens (Human)	520
ENSG00000242485	ENSG00000242485 -> Q9BYC9-1;Q9BYC9-2	Q9BYC9	RM20_HUMAN	reviewed	39S ribosomal protein L20, mitochondrial (L20mt) (MRP-L20) (Mitochondrial large ribosomal subunit protein bL20m)	MRPL20	Homo sapiens (Human)	149
ENSG00000179403	ENSG00000179403 -> Q6PCB0-1;Q6PCB0-3	Q6PCB0	VWA1_HUMAN	reviewed	von Willebrand factor A domain-containing protein 1	VWA1	Homo sapiens (Human)	445
ENSG00000215915		Q5T2N8	ATD3C_HUMAN	reviewed	ATPase family AAA domain-containing protein 3C	ATAD3C	Homo sapiens (Human)	411
ENSG00000160072	ENSG00000160072 -> Q5T9A4-1	Q5T9A4	ATD3B_HUMAN	reviewed	ATPase family AAA domain-containing protein 3B (AAA-TOB3)	ATAD3B KIAA1273 TOB3	Homo sapiens (Human)	648
ENSG00000197785	ENSG00000197785 -> Q9NVI7-1;Q9NVI7-2;Q9NVI7-3	Q9NVI7	ATD3A_HUMAN	reviewed	ATPase family AAA domain-containing protein 3A	ATAD3A	Homo sapiens (Human)	634
ENSG00000160075	ENSG00000160075 -> Q9NP77-1;Q9NP77-2	Q9NP77	SSU72_HUMAN	reviewed	RNA polymerase II subunit A C-terminal domain phosphatase SSU72 (CTD phosphatase SSU72) (EC 3.1.3.16)	SSU72 HSPC182 PNAS-120	Homo sapiens (Human)	194
ENSG00000248333	ENSG00000248333 -> P21127-1;P21127-2;P21127-9	P21127	CD11B_HUMAN	reviewed	Cyclin-dependent kinase 11B (EC 2.7.11.22) (Cell division cycle 2-like protein kinase 1) (CLK-1) (Cell division protein kinase 11B) (Galactosyltransferase-associated protein kinase p58/GTA) (PITSLRE serine/threonine-protein kinase CDC2L1) (p58 CLK-1)	CDK11B CDC2L1 CDK11 PITSLREA PK58	Homo sapiens (Human)	795
ENSG00000189339		P0CK96	S352B_HUMAN	reviewed	Solute carrier family 35 member E2B	SLC35E2B KIAA0447	Homo sapiens (Human)	405
ENSG00000008128	ENSG00000008128 -> Q9UQ88-1;Q9UQ88-2;Q9UQ88-4	Q9UQ88	CD11A_HUMAN	reviewed	Cyclin-dependent kinase 11A (EC 2.7.11.22) (Cell division cycle 2-like protein kinase 2) (Cell division protein kinase 11A) (Galactosyltransferase-associated protein kinase p58/GTA) (PITSLRE serine/threonine-protein kinase CDC2L2)	CDK11A CDC2L2 CDC2L3 PITSLREB	Homo sapiens (Human)	783
ENSG00000215790	ENSG00000215790 -> P0CK97-1;P0CK97-2	P0CK97	S35E2_HUMAN	reviewed	Solute carrier family 35 member E2A	SLC35E2A SLC35E2	Homo sapiens (Human)	266
ENSG00000008130	ENSG00000008130 -> O95544-1;O95544-2	O95544	NADK_HUMAN	reviewed	NAD kinase (EC 2.7.1.23) (Poly(P)/ATP NAD kinase)	NADK	Homo sapiens (Human)	446
ENSG00000078369	ENSG00000078369 -> P62873-1	P62873	GBB1_HUMAN	reviewed	Guanine nucleotide-binding protein G(I)/G(S)/G(T) subunit beta-1 (Transducin beta chain 1)	GNB1	Homo sapiens (Human)	340
ENSG00000067606	ENSG00000067606 -> Q05513-1;Q05513-2;Q05513-3	Q05513	KPCZ_HUMAN	reviewed	Protein kinase C zeta type (EC 2.7.11.13) (nPKC-zeta)	PRKCZ PKC2	Homo sapiens (Human)	592
ENSG00000162585	ENSG00000162585 -> Q6NZ36-1;Q6NZ36-4;Q6NZ36-5;Q6NZ36-6	Q6NZ36	FAP20_HUMAN	reviewed	Fanconi anemia core complex-associated protein 20 (FANCA-associated protein of 20 kDa) (Fanconi anemia-associated protein of 20 kDa)	FAAP20 C1orf86 FP7162	Homo sapiens (Human)	180
ENSG00000157933		P12755	SKI_HUMAN	reviewed	Ski oncogene (Proto-oncogene c-Ski)	SKI	Homo sapiens (Human)	728
ENSG00000116151	ENSG00000116151 -> Q5T089-1;Q5T089-2	Q5T089	MORN1_HUMAN	reviewed	MORN repeat-containing protein 1	MORN1	Homo sapiens (Human)	497
ENSG00000157916		O15258	RER1_HUMAN	reviewed	Protein RER1	RER1	Homo sapiens (Human)	196
ENSG00000157911	ENSG00000157911 -> O60683-1;O60683-2	O60683	PEX10_HUMAN	reviewed	Peroxisome biogenesis factor 10 (Peroxin-10) (Peroxisomal biogenesis factor 10) (Peroxisome assembly protein 10) (RING finger protein 69)	PEX10 RNF69	Homo sapiens (Human)	326
ENSG00000149527	ENSG00000149527 -> O75038-1;O75038-2	O75038	PLCH2_HUMAN	reviewed	1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase eta-2 (EC 3.1.4.11) (Phosphoinositide phospholipase C-eta-2) (Phosphoinositide phospholipase C-like 4) (PLC-L4) (Phospholipase C-like protein 4) (Phospholipase C-eta-2) (PLC-eta2)	PLCH2 KIAA0450 PLCL4	Homo sapiens (Human)	1416
ENSG00000157881		Q9NVE7	PANK4_HUMAN	reviewed	4'-phosphopantetheine phosphatase (EC 3.1.3.-) (Inactive pantothenic acid kinase 4) (hPanK4)	PANK4	Homo sapiens (Human)	773
ENSG00000157873	ENSG00000157873 -> Q92956-1	Q92956	TNR14_HUMAN	reviewed	Tumor necrosis factor receptor superfamily member 14 (Herpes virus entry mediator A) (Herpesvirus entry mediator A) (HveA) (Tumor necrosis factor receptor-like 2) (TR2) (CD antigen CD270)	TNFRSF14 HVEA HVEM UNQ329/PRO509	Homo sapiens (Human)	283
ENSG00000157870	ENSG00000157870 -> Q8TBF2-1;Q8TBF2-2;Q8TBF2-7	Q8TBF2	PXL2B_HUMAN	reviewed	Prostamide/prostaglandin F synthase (Prostamide/PG F synthase) (Prostamide/PGF synthase) (EC 1.11.1.20) (Peroxiredoxin-like 2B) (Protein FAM213B)	PRXL2B C1orf93 FAM213B	Homo sapiens (Human)	198
ENSG00000142611	ENSG00000142611 -> Q9HAZ2-1;Q9HAZ2-2	Q9HAZ2	PRD16_HUMAN	reviewed	Histone-lysine N-methyltransferase PRDM16 (EC 2.1.1.43) (PR domain zinc finger protein 16) (PR domain-containing protein 16) (Transcription factor MEL1) (MDS1/EVI1-like gene 1)	PRDM16 KIAA1675 MEL1 PFM13	Homo sapiens (Human)	1276
ENSG00000162591	ENSG00000162591 -> O75095-1;O75095-2	O75095	MEGF6_HUMAN	reviewed	Multiple epidermal growth factor-like domains protein 6 (Multiple EGF-like domains protein 6) (Epidermal growth factor-like protein 3) (EGF-like protein 3)	MEGF6 EGFL3 KIAA0815	Homo sapiens (Human)	1541
ENSG00000158109	ENSG00000158109 -> Q5T0D9-1;Q5T0D9-2	Q5T0D9	TPRGL_HUMAN	reviewed	Tumor protein p63-regulated gene 1-like protein (Mossy fiber terminal-associated vertebrate-specific presynaptic protein) (Protein FAM79A)	TPRG1L FAM79A MOVER	Homo sapiens (Human)	272
ENSG00000116213		Q9P2S5	WRP73_HUMAN	reviewed	WD repeat-containing protein WRAP73 (WD repeat-containing protein 8) (WD repeat-containing protein antisense to TP73 gene)	WRAP73 WDR8	Homo sapiens (Human)	460
ENSG00000078900	ENSG00000078900 -> O15350-1;O15350-11;O15350-13;O15350-2;O15350-4;O15350-6;O15350-8;O15350-9	O15350	P73_HUMAN	reviewed	Tumor protein p73 (p53-like transcription factor) (p53-related protein)	TP73 P73	Homo sapiens (Human)	636
ENSG00000235169		B2RUZ4	SMIM1_HUMAN	reviewed	Small integral membrane protein 1 (Vel blood group antigen)	SMIM1	Homo sapiens (Human)	78
ENSG00000130764		Q8N1G4	LRC47_HUMAN	reviewed	Leucine-rich repeat-containing protein 47	LRRC47 KIAA1185	Homo sapiens (Human)	583
ENSG00000116198	ENSG00000116198 -> O60308-1;O60308-2	O60308	CE104_HUMAN	reviewed	Centrosomal protein of 104 kDa (Cep104)	CEP104 KIAA0562	Homo sapiens (Human)	925
ENSG00000169598	ENSG00000169598 -> O76075-1;O76075-2;O76075-3	O76075	DFFB_HUMAN	reviewed	DNA fragmentation factor subunit beta (EC 3.-.-.-) (Caspase-activated deoxyribonuclease) (CAD) (Caspase-activated DNase) (Caspase-activated nuclease) (CPAN) (DNA fragmentation factor 40 kDa subunit) (DFF-40)	DFFB CAD DFF2 DFF40	Homo sapiens (Human)	338
ENSG00000198912		Q8IYL3	CA174_HUMAN	reviewed	UPF0688 protein C1orf174	C1orf174	Homo sapiens (Human)	243
ENSG00000131697	ENSG00000131697 -> O75161-1;O75161-2	O75161	NPHP4_HUMAN	reviewed	Nephrocystin-4 (Nephroretinin)	NPHP4 KIAA0673	Homo sapiens (Human)	1426
ENSG00000069424	ENSG00000069424 -> Q13303-1;Q13303-2;Q13303-3;Q13303-4;Q13303-5	Q13303	KCAB2_HUMAN	reviewed	Voltage-gated potassium channel subunit beta-2 (EC 1.1.1.-) (K(+) channel subunit beta-2) (Kv-beta-2) (hKvbeta2)	KCNAB2 KCNA2B KCNK2	Homo sapiens (Human)	367
ENSG00000116254		Q8TDI0	CHD5_HUMAN	reviewed	Chromodomain-helicase-DNA-binding protein 5 (CHD-5) (EC 3.6.4.12) (ATP-dependent helicase CHD5)	CHD5 KIAA0444	Homo sapiens (Human)	1954
ENSG00000116251		P35268	RL22_HUMAN	reviewed	60S ribosomal protein L22 (EBER-associated protein) (EAP) (Epstein-Barr virus small RNA-associated protein) (Heparin-binding protein HBp15) (Large ribosomal subunit protein eL22)	RPL22	Homo sapiens (Human)	128
ENSG00000158286	ENSG00000158286 -> Q6ZRF8-1	Q6ZRF8	RN207_HUMAN	reviewed	RING finger protein 207	RNF207 C1orf188	Homo sapiens (Human)	634
ENSG00000116237		O60725	ICMT_HUMAN	reviewed	Protein-S-isoprenylcysteine O-methyltransferase (EC 2.1.1.100) (Isoprenylcysteine carboxylmethyltransferase) (Prenylated protein carboxyl methyltransferase) (PPMT) (Prenylcysteine carboxyl methyltransferase) (pcCMT)	ICMT PCCMT	Homo sapiens (Human)	284
ENSG00000097021	ENSG00000097021 -> O00154-1;O00154-2;O00154-3;O00154-4;O00154-5;O00154-6;O00154-7	O00154	BACH_HUMAN	reviewed	Cytosolic acyl coenzyme A thioester hydrolase (EC 3.1.2.2) (Acyl-CoA thioesterase 7) (Brain acyl-CoA hydrolase) (BACH) (hBACH) (CTE-IIa) (CTE-II) (Long chain acyl-CoA thioester hydrolase)	ACOT7 BACH	Homo sapiens (Human)	380
ENSG00000069812	ENSG00000069812 -> Q9Y543-1;Q9Y543-2	Q9Y543	HES2_HUMAN	reviewed	Transcription factor HES-2 (Class B basic helix-loop-helix protein 40) (bHLHb40) (Hairy and enhancer of split 2)	HES2 BHLHB40	Homo sapiens (Human)	173
ENSG00000171680	ENSG00000171680 -> O94827-1;O94827-2;O94827-3;O94827-4;O94827-5;O94827-6;O94827-7	O94827	PKHG5_HUMAN	reviewed	Pleckstrin homology domain-containing family G member 5 (PH domain-containing family G member 5) (Guanine nucleotide exchange factor 720) (GEF720)	PLEKHG5 KIAA0720	Homo sapiens (Human)	1062
ENSG00000162408		Q5SY16	NOL9_HUMAN	reviewed	Polynucleotide 5'-hydroxyl-kinase NOL9 (EC 2.7.1.-) (Nucleolar protein 9)	NOL9	Homo sapiens (Human)	702
ENSG00000204859		P10074	TZAP_HUMAN	reviewed	Telomere zinc finger-associated protein (TZAP) (Krueppel-related zinc finger protein 3) (hKR3) (Zinc finger and BTB domain-containing protein 48) (Zinc finger protein 855)	ZBTB48 HKR3 TZAP ZNF855	Homo sapiens (Human)	688
ENSG00000162413	ENSG00000162413 -> Q9UJP4-1;Q9UJP4-2	Q9UJP4	KLH21_HUMAN	reviewed	Kelch-like protein 21	KLHL21 KIAA0469	Homo sapiens (Human)	597
ENSG00000116273		Q86YI8	PHF13_HUMAN	reviewed	PHD finger protein 13 (Survival time-associated PHD finger protein in ovarian cancer 1) (SPOC1)	PHF13	Homo sapiens (Human)	300
ENSG00000041988	ENSG00000041988 -> Q8WTV1-1;Q8WTV1-3;Q8WTV1-4	Q8WTV1	THAP3_HUMAN	reviewed	THAP domain-containing protein 3	THAP3	Homo sapiens (Human)	239
ENSG00000007923	ENSG00000007923 -> Q9NVH1-1;Q9NVH1-3	Q9NVH1	DJC11_HUMAN	reviewed	DnaJ homolog subfamily C member 11	DNAJC11	Homo sapiens (Human)	559
ENSG00000171735	ENSG00000171735 -> Q9Y6Y1-1;Q9Y6Y1-3;Q9Y6Y1-4	Q9Y6Y1	CMTA1_HUMAN	reviewed	Calmodulin-binding transcription activator 1	CAMTA1 KIAA0833 MSTP023	Homo sapiens (Human)	1673
ENSG00000049245		Q15836	VAMP3_HUMAN	reviewed	Vesicle-associated membrane protein 3 (VAMP-3) (Cellubrevin) (CEB) (Synaptobrevin-3)	VAMP3 SYB3	Homo sapiens (Human)	100
ENSG00000049246	ENSG00000049246 -> P56645-1;P56645-2	P56645	PER3_HUMAN	reviewed	Period circadian protein homolog 3 (hPER3) (Cell growth-inhibiting gene 13 protein) (Circadian clock protein PERIOD 3)	PER3 GIG13	Homo sapiens (Human)	1201
ENSG00000049249		Q07011	TNR9_HUMAN	reviewed	Tumor necrosis factor receptor superfamily member 9 (4-1BB ligand receptor) (CDw137) (T-cell antigen 4-1BB homolog) (T-cell antigen ILA) (CD antigen CD137)	TNFRSF9 CD137 ILA	Homo sapiens (Human)	255
ENSG00000116288		Q99497	PARK7_HUMAN	reviewed	Protein/nucleic acid deglycase DJ-1 (EC 3.1.2.-) (EC 3.5.1.-) (EC 3.5.1.124) (Maillard deglycase) (Oncogene DJ1) (Parkinson disease protein 7) (Parkinsonism-associated deglycase) (Protein DJ-1) (DJ-1)	PARK7	Homo sapiens (Human)	189
ENSG00000116285		Q9UJM3	ERRFI_HUMAN	reviewed	ERBB receptor feedback inhibitor 1 (Mitogen-inducible gene 6 protein) (MIG-6)	ERRFI1 MIG6	Homo sapiens (Human)	462
ENSG00000162426		Q9Y2W3	S45A1_HUMAN	reviewed	Proton-associated sugar transporter A (PAST-A) (Deleted in neuroblastoma 5 protein) (DNb-5) (Solute carrier family 45 member 1)	SLC45A1 DNB5	Homo sapiens (Human)	782
ENSG00000142599	ENSG00000142599 -> Q9P2R6-1;Q9P2R6-2	Q9P2R6	RERE_HUMAN	reviewed	Arginine-glutamic acid dipeptide repeats protein (Atrophin-1-like protein) (Atrophin-1-related protein)	RERE ARG ARP ATN1L KIAA0458	Homo sapiens (Human)	1566
ENSG00000074800	ENSG00000074800 -> P06733-1	P06733	ENOA_HUMAN	reviewed	Alpha-enolase (EC 4.2.1.11) (2-phospho-D-glycerate hydro-lyase) (C-myc promoter-binding protein) (Enolase 1) (MBP-1) (MPB-1) (Non-neural enolase) (NNE) (Phosphopyruvate hydratase) (Plasminogen-binding protein)	ENO1 ENO1L1 MBPB1 MPB1	Homo sapiens (Human)	434
ENSG00000180758		Q5UAW9	GP157_HUMAN	reviewed	G-protein coupled receptor 157	GPR157	Homo sapiens (Human)	335
ENSG00000049239		O95479	G6PE_HUMAN	reviewed	GDH/6PGL endoplasmic bifunctional protein [Includes: Glucose 1-dehydrogenase (EC 1.1.1.47) (Glucose-6-phosphate dehydrogenase) (EC 1.1.1.363); 6-phosphogluconolactonase (6PGL) (EC 3.1.1.31)]	H6PD GDH	Homo sapiens (Human)	791
ENSG00000171621		Q96BD6	SPSB1_HUMAN	reviewed	SPRY domain-containing SOCS box protein 1 (SSB-1)	SPSB1 SSB1	Homo sapiens (Human)	273
ENSG00000171612		Q9BSK2	S2533_HUMAN	reviewed	Solute carrier family 25 member 33 (Bone marrow stromal cell mitochondrial carrier protein) (BMSC-MCP) (HuBMSC-MCP) (Protein PNC1)	SLC25A33	Homo sapiens (Human)	321
ENSG00000188807	ENSG00000188807 -> Q5SNT2-1;Q5SNT2-2	Q5SNT2	TM201_HUMAN	reviewed	Transmembrane protein 201 (Spindle-associated membrane protein 1)	TMEM201 NET5 SAMP1	Homo sapiens (Human)	666
ENSG00000171608	ENSG00000171608 -> O00329-1	O00329	PK3CD_HUMAN	reviewed	Phosphatidylinositol 4,5-bisphosphate 3-kinase catalytic subunit delta isoform (PI3-kinase subunit delta) (PI3K-delta) (PI3Kdelta) (PtdIns-3-kinase subunit delta) (EC 2.7.1.153) (Phosphatidylinositol 4,5-bisphosphate 3-kinase 110 kDa catalytic subunit delta) (PtdIns-3-kinase subunit p110-delta) (p110delta)	PIK3CD	Homo sapiens (Human)	1044
ENSG00000171603	ENSG00000171603 -> O94985-1;O94985-2	O94985	CSTN1_HUMAN	reviewed	Calsyntenin-1 (Alcadein-alpha) (Alc-alpha) (Alzheimer-related cadherin-like protein) (Non-classical cadherin XB31alpha) [Cleaved into: Soluble Alc-alpha (SAlc-alpha); CTF1-alpha (C-terminal fragment 1-alpha)]	CLSTN1 CS1 KIAA0911	Homo sapiens (Human)	981
ENSG00000178585		Q9NSA3	CNBP1_HUMAN	reviewed	Beta-catenin-interacting protein 1 (Inhibitor of beta-catenin and Tcf-4)	CTNNBIP1 ICAT	Homo sapiens (Human)	81
ENSG00000162441	ENSG00000162441 -> Q8WZA0-1	Q8WZA0	LZIC_HUMAN	reviewed	Protein LZIC (Leucine zipper and CTNNBIP1 domain-containing protein) (Leucine zipper and ICAT homologous domain-containing protein)	LZIC	Homo sapiens (Human)	190
ENSG00000162444		Q96R05	RET7_HUMAN	reviewed	Retinoid-binding protein 7 (Cellular retinoic acid-binding protein 4) (CRABP4) (CRBP4) (Cellular retinoic acid-binding protein IV) (CRABP-IV)	RBP7	Homo sapiens (Human)	134
ENSG00000130939	ENSG00000130939 -> O95155-1;O95155-2	O95155	UBE4B_HUMAN	reviewed	Ubiquitin conjugation factor E4 B (EC 2.3.2.27) (Homozygously deleted in neuroblastoma 1) (RING-type E3 ubiquitin transferase E4 B) (Ubiquitin fusion degradation protein 2)	UBE4B HDNB1 KIAA0684 UFD2	Homo sapiens (Human)	1302
ENSG00000054523	ENSG00000054523 -> O60333-1;O60333-2;O60333-3;O60333-4	O60333	KIF1B_HUMAN	reviewed	Kinesin-like protein KIF1B (Klp)	KIF1B KIAA0591 KIAA1448	Homo sapiens (Human)	1816
ENSG00000142657	ENSG00000142657 -> P52209-1	P52209	6PGD_HUMAN	reviewed	6-phosphogluconate dehydrogenase, decarboxylating (EC 1.1.1.44)	PGD PGDH	Homo sapiens (Human)	483
ENSG00000175279	ENSG00000175279 -> Q8N2Z9-1	Q8N2Z9	CENPS_HUMAN	reviewed	Centromere protein S (CENP-S) (Apoptosis-inducing TAF9-like domain-containing protein 1) (FANCM-associated histone fold protein 1) (FANCM-interacting histone fold protein 1) (Fanconi anemia-associated polypeptide of 16 kDa)	CENPS APITD1 FAAP16 MHF1	Homo sapiens (Human)	138
ENSG00000160049	ENSG00000160049 -> O00273-1;O00273-2	O00273	DFFA_HUMAN	reviewed	DNA fragmentation factor subunit alpha (DNA fragmentation factor 45 kDa subunit) (DFF-45) (Inhibitor of CAD) (ICAD)	DFFA DFF1 DFF45 H13	Homo sapiens (Human)	331
ENSG00000142655	ENSG00000142655 -> O75381-1	O75381	PEX14_HUMAN	reviewed	Peroxisomal membrane protein PEX14 (PTS1 receptor-docking protein) (Peroxin-14) (Peroxisomal membrane anchor protein PEX14)	PEX14	Homo sapiens (Human)	377
ENSG00000130940	ENSG00000130940 -> Q86V15-1;Q86V15-2	Q86V15	CASZ1_HUMAN	reviewed	Zinc finger protein castor homolog 1 (Castor-related protein) (Putative survival-related protein) (Zinc finger protein 693)	CASZ1 CST SRG ZNF693	Homo sapiens (Human)	1759
ENSG00000120948	ENSG00000120948 -> Q13148-1	Q13148	TADBP_HUMAN	reviewed	TAR DNA-binding protein 43 (TDP-43)	TARDBP TDP43	Homo sapiens (Human)	414
ENSG00000116649		P19623	SPEE_HUMAN	reviewed	Spermidine synthase (SPDSY) (EC 2.5.1.16) (Putrescine aminopropyltransferase)	SRM SPS1 SRML1	Homo sapiens (Human)	302
ENSG00000171824	ENSG00000171824 -> Q01780-1;Q01780-2	Q01780	EXOSX_HUMAN	reviewed	Exosome component 10 (EC 3.1.13.-) (Autoantigen PM/Scl 2) (P100 polymyositis-scleroderma overlap syndrome-associated autoantigen) (Polymyositis/scleroderma autoantigen 100 kDa) (PM/Scl-100) (Polymyositis/scleroderma autoantigen 2)	EXOSC10 PMSCL PMSCL2 RRP6	Homo sapiens (Human)	885
ENSG00000198793		P42345	MTOR_HUMAN	reviewed	Serine/threonine-protein kinase mTOR (EC 2.7.11.1) (FK506-binding protein 12-rapamycin complex-associated protein 1) (FKBP12-rapamycin complex-associated protein) (Mammalian target of rapamycin) (mTOR) (Mechanistic target of rapamycin) (Rapamycin and FKBP12 target 1) (Rapamycin target protein 1)	MTOR FRAP FRAP1 FRAP2 RAFT1 RAPT1	Homo sapiens (Human)	2549
ENSG00000120942	ENSG00000120942 -> Q9Y5Z9-1;Q9Y5Z9-2	Q9Y5Z9	UBIA1_HUMAN	reviewed	UbiA prenyltransferase domain-containing protein 1 (EC 2.5.1.-) (Transitional epithelial response protein 1)	UBIAD1 TERE1	Homo sapiens (Human)	338
ENSG00000116661		Q9UK22	FBX2_HUMAN	reviewed	F-box only protein 2	FBXO2 FBX2	Homo sapiens (Human)	296
ENSG00000132879	ENSG00000132879 -> Q9H4M3-1;Q9H4M3-2	Q9H4M3	FBX44_HUMAN	reviewed	F-box only protein 44 (F-box protein FBX30) (F-box/G-domain protein 3)	FBXO44 FBG3 FBX30 FBX44 FBX6A FBXO6A	Homo sapiens (Human)	255
ENSG00000116663		Q9NRD1	FBX6_HUMAN	reviewed	F-box only protein 6 (F-box protein that recognizes sugar chains 2) (F-box/G-domain protein 2)	FBXO6 FBG2 FBS2 FBX6	Homo sapiens (Human)	293
ENSG00000116670		Q9UI95	MD2L2_HUMAN	reviewed	Mitotic spindle assembly checkpoint protein MAD2B (Mitotic arrest deficient 2-like protein 2) (MAD2-like protein 2) (REV7 homolog) (hREV7)	MAD2L2 MAD2B REV7	Homo sapiens (Human)	211
ENSG00000177674	ENSG00000177674 -> Q6RW13-1;Q6RW13-2;Q6RW13-3;Q6RW13-4;Q6RW13-5	Q6RW13	ATRAP_HUMAN	reviewed	Type-1 angiotensin II receptor-associated protein (AT1 receptor-associated protein)	AGTRAP ATRAP	Homo sapiens (Human)	159
